名称,经度,纬度,高度,创建时间,注解,类型
TrackPt00179,113 19'42.27"E,23 6'47.14"N,17,2019.9.17 10:17:37,,默认图标模式
TrackPt00180,113 19'42.29"E,23 6'46.73"N,17.5,2019.9.17 10:17:38,,默认图标模式
TrackPt00181,113 19'42.30"E,23 6'46.31"N,17.5,2019.9.17 10:17:39,,默认图标模式
TrackPt00182,113 19'42.31"E,23 6'45.88"N,17.7,2019.9.17 10:17:40,,默认图标模式
TrackPt00183,113 19'42.33"E,23 6'45.45"N,17.8,2019.9.17 10:17:41,,默认图标模式
TrackPt00184,113 19'42.34"E,23 6'45.02"N,18,2019.9.17 10:17:42,,默认图标模式
TrackPt00185,113 19'42.36"E,23 6'44.60"N,18.3,2019.9.17 10:17:43,,默认图标模式
TrackPt00186,113 19'42.37"E,23 6'44.19"N,18.3,2019.9.17 10:17:44,,默认图标模式
TrackPt00187,113 19'42.39"E,23 6'43.79"N,18.2,2019.9.17 10:17:45,,默认图标模式
TrackPt00188,113 19'42.40"E,23 6'43.38"N,18.2,2019.9.17 10:17:46,,默认图标模式
TrackPt00189,113 19'42.42"E,23 6'42.97"N,18.3,2019.9.17 10:17:47,,默认图标模式
TrackPt00190,113 19'42.43"E,23 6'42.54"N,18.1,2019.9.17 10:17:48,,默认图标模式
TrackPt00191,113 19'42.45"E,23 6'42.11"N,18,2019.9.17 10:17:49,,默认图标模式
TrackPt00192,113 19'42.46"E,23 6'41.68"N,17.9,2019.9.17 10:17:50,,默认图标模式
TrackPt00193,113 19'42.47"E,23 6'41.23"N,17.9,2019.9.17 10:17:51,,默认图标模式
TrackPt00194,113 19'42.49"E,23 6'40.78"N,17.8,2019.9.17 10:17:52,,默认图标模式
TrackPt00195,113 19'42.51"E,23 6'40.33"N,17.8,2019.9.17 10:17:53,,默认图标模式
TrackPt00196,113 19'42.52"E,23 6'39.88"N,17.7,2019.9.17 10:17:54,,默认图标模式
TrackPt00197,113 19'42.54"E,23 6'39.44"N,17.6,2019.9.17 10:17:55,,默认图标模式
TrackPt00198,113 19'42.56"E,23 6'39.02"N,17.2,2019.9.17 10:17:56,,默认图标模式
TrackPt00199,113 19'42.57"E,23 6'38.60"N,17,2019.9.17 10:17:57,,默认图标模式
TrackPt00200,113 19'42.59"E,23 6'38.19"N,17,2019.9.17 10:17:58,,默认图标模式
